profile,variant,vulnerabilityId,severity,ecosystem,target,package,installedVersion,fixedVersion,title,url
dev,clamav-on,CVE-2026-20345,HIGH,wolfi,/,clamav-1.5-scanner,1.5.2-r7,1.5.4-r0,A vulnerability in the GPT file format parser of ClamAV could allow an ...,https://avd.aquasec.com/nvd/cve-2026-20345
dev,clamav-on,CVE-2026-20346,HIGH,wolfi,/,clamav-1.5-scanner,1.5.2-r7,1.5.4-r0,A vulnerability in the PDF file format parser of ClamAV could allow an ...,https://avd.aquasec.com/nvd/cve-2026-20346
dev,clamav-on,CVE-2026-20347,HIGH,wolfi,/,clamav-1.5-scanner,1.5.2-r7,1.5.4-r0,A vulnerability in the Mach-O file format parser of ClamAV could allow ...,https://avd.aquasec.com/nvd/cve-2026-20347
dev,clamav-on,CVE-2026-20348,HIGH,wolfi,/,clamav-1.5-scanner,1.5.2-r7,1.5.4-r0,A vulnerability in the XAR file format parser of ClamAV could allow an ...,https://avd.aquasec.com/nvd/cve-2026-20348
dev,clamav-on,GHSA-cq8v-f236-94qc,LOW,cargo,usr/local/rustup/toolchains/nightly-2026-09-04-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/portable-simd/Cargo.lock,rand,0.9.2,"0.9.3, 0.10.1, 0.8.6",Rand is unsound with a custom logger using rand::rng(),https://github.com/advisories/GHSA-cq8v-f236-94qc
dev,clamav-on,GHSA-7gcf-g7xr-8hxj,MEDIUM,cargo,usr/local/rustup/toolchains/nightly-2026-09-04-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/stdarch/Cargo.lock,serde_with,3.18.0,3.21.0,serde_with: KeyValueMap serialization panics on empty sequence or map entries,https://github.com/advisories/GHSA-7gcf-g7xr-8hxj
dev,utilities-none,GHSA-cq8v-f236-94qc,LOW,cargo,usr/local/rustup/toolchains/nightly-2026-09-04-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/portable-simd/Cargo.lock,rand,0.9.2,"0.9.3, 0.10.1, 0.8.6",Rand is unsound with a custom logger using rand::rng(),https://github.com/advisories/GHSA-cq8v-f236-94qc
dev,utilities-none,GHSA-7gcf-g7xr-8hxj,MEDIUM,cargo,usr/local/rustup/toolchains/nightly-2026-09-04-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/stdarch/Cargo.lock,serde_with,3.18.0,3.21.0,serde_with: KeyValueMap serialization panics on empty sequence or map entries,https://github.com/advisories/GHSA-7gcf-g7xr-8hxj
dev,utilities-all,GHSA-cq8v-f236-94qc,LOW,cargo,usr/local/rustup/toolchains/nightly-2026-09-04-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/portable-simd/Cargo.lock,rand,0.9.2,"0.9.3, 0.10.1, 0.8.6",Rand is unsound with a custom logger using rand::rng(),https://github.com/advisories/GHSA-cq8v-f236-94qc
dev,utilities-all,GHSA-7gcf-g7xr-8hxj,MEDIUM,cargo,usr/local/rustup/toolchains/nightly-2026-09-04-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/stdarch/Cargo.lock,serde_with,3.18.0,3.21.0,serde_with: KeyValueMap serialization panics on empty sequence or map entries,https://github.com/advisories/GHSA-7gcf-g7xr-8hxj
